journal_name,issn,eissn
AIDS REVIEWS,1139-6121,1698-6997
CURRENT OPINION IN GASTROENTEROLOGY,0267-1379,1531-7056
GENESIS,1526-954X,1526-968X
Rheumatology and Immunology Research,,2719-4523
Gastroenterology Review-Przeglad Gastroenterologiczny,1895-5770,1897-4317
Acta Orthopaedica,1745-3674,1745-3682
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,0275-5408,1475-1313
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,0020-7292,1879-3479
AMERICAN JOURNAL OF INFECTION CONTROL,0196-6553,1527-3296
Journal of Sports Science and Medicine,1303-2968,1303-2968
International Journal of Retina and Vitreous,,2056-9920
Odontology,1618-1247,1618-1255
PSYCHOSOMATIC MEDICINE,0033-3174,1534-7796
BMC Nephrology,,1471-2369
Eye and Brain,1179-2744,1179-2744
BMC MUSCULOSKELETAL DISORDERS,,1471-2474
AUSTRALIAN DENTAL JOURNAL,0045-0421,1834-7819
Journal of Oral & Facial Pain and Headache,2333-0384,2333-0376
Applications in Plant Sciences,2168-0450,2168-0450
GAIT & POSTURE,0966-6362,1879-2219
Journal of Racial and Ethnic Health Disparities,2197-3792,2196-8837
AIDS AND BEHAVIOR,1090-7165,1573-3254
Journal of Multidisciplinary Healthcare,1178-2390,1178-2390
Hormones and Behavior,0018-506X,1095-6867
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,0020-7144,1744-5183
HEALTH PROMOTION INTERNATIONAL,0957-4824,1460-2245
Joint Commission Journal on Quality and Patient Safety,1553-7250,1938-131X
Clinical Neuropsychiatry,1724-4935,2385-0787
International Journal of Public Health,1661-8556,1661-8564
NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,0987-7053,1769-7131
Substance Abuse,0889-7077,1547-0164
HEALTH ECONOMICS,1057-9230,1099-1050
INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,0340-0131,1432-1246
Journal of Trauma & Dissociation,1529-9732,1529-9740
Preventive Medicine Reports,,2211-3355
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,1326-0200,1753-6405
Echo Research and Practice,2055-0464,2055-0464
Clinical Gerontologist,0731-7115,1545-2301
in silico Plants,,2517-5025
THERAPEUTIC DRUG MONITORING,0163-4356,1536-3694
AGING & MENTAL HEALTH,1360-7863,1364-6915
Asian Journal of Urology,2214-3882,2214-3890
Parasite,1252-607X,1776-1042
Plant Reproduction,2194-7953,2194-7961
AoB Plants,2041-2851,2041-2851
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,2368-738X,2368-738X
Parasite Epidemiology and Control,2405-6731,2405-6731
CRITICAL CARE CLINICS,0749-0704,1557-8232
PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,0033-2747,1943-281X
Mental Health & Prevention,2212-6570,2212-6570
Substance Abuse-Research and Treatment,1178-2218,1178-2218
PARASITOLOGY,0031-1820,1469-8161
Dose-Response,1559-3258,1559-3258
American Journal of Mens Health,1557-9883,1557-9891
AMERICAN JOURNAL OF HEALTH PROMOTION,0890-1171,2168-6602
Cognitive Systems Research,2214-4366,1389-0417
Informatics for Health & Social Care,1753-8157,1753-8165
BioPsychoSocial Medicine,1751-0759,1751-0759
URBAN ECOSYSTEMS,1083-8155,1573-1642
International Journal for Numerical Methods in Biomedical Engineering,2040-7939,2040-7947
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,1053-8569,1099-1557
Rangeland Ecology & Management,1550-7424,1551-5028
PLANT CELL TISSUE AND ORGAN CULTURE,0167-6857,1573-5044
Journal of Cotton Research,2096-5044,2523-3254
JOURNAL OF ULTRASOUND IN MEDICINE,0278-4297,1550-9613
PLANT PATHOLOGY,0032-0862,1365-3059
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,1062-936X,1029-046X
WEB ECOLOGY,2193-3081,1399-1183
ANNALS OF HEMATOLOGY,0939-5555,1432-0584
Zdravstveno Varstvo,0351-0026,1854-2476
WEED RESEARCH,0043-1737,1365-3180
Molecular Imaging,,1536-0121
Biomicrofluidics,,1932-1058
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,1062-4821,1473-6543
Vasa-European Journal of Vascular Medicine,0301-1526,1664-2872
Allergy Asthma and Clinical Immunology,1710-1492,1710-1492
Sexual Development,1661-5425,1661-5433
Hamostaseologie,0720-9355,2567-5761
Current Trauma Reports,2198-6096,2198-6096
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,0937-9827,1437-1596
Korean Journal of Orthodontics,2234-7518,2005-372X
JOURNAL OF ORAL PATHOLOGY & MEDICINE,0904-2512,1600-0714
JMIR Pediatrics and Parenting,2561-6722,2561-6722
JOURNAL OF ORTHOPAEDIC RESEARCH,0736-0266,1554-527X
CONTRACEPTION,0010-7824,1879-0518
JMIR Infodemiology,,2564-1891
JOURNAL OF RECONSTRUCTIVE MICROSURGERY,0743-684X,1098-8947
JOURNAL OF VISION,1534-7362,1534-7362
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,0721-832X,1435-702X
Journal of Ophthalmic Inflammation and Infection,1869-5760,1869-5760
EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,1090-3798,1532-2130
Psychological Trauma-Theory Research Practice and Policy,1942-9681,1942-969X
"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",0363-6119,1522-1490
BMJ Paediatrics Open,,2399-9772
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,0959-289X,1532-3374
PET Clinics,1556-8598,1559-7814
Pediatric Rheumatology,,1546-0096
Primary Care Diabetes,1751-9918,1878-0210
Diagnostic Pathology,,1746-1596
GYNECOLOGIC AND OBSTETRIC INVESTIGATION,0378-7346,1423-002X
NEUROLOGIA MEDICO-CHIRURGICA,0470-8105,1349-8029
MEDICAL DECISION MAKING,0272-989X,1552-681X
PEDIATRIC PULMONOLOGY,8755-6863,1099-0496
PEDIATRIC RADIOLOGY,0301-0449,1432-1998
Critical Public Health,0958-1596,1469-3682
JOURNAL OF KOREAN MEDICAL SCIENCE,1011-8934,1598-6357
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,0963-1801,1469-2147
BRITISH DENTAL JOURNAL,0007-0610,1476-5373
ASAIO JOURNAL,1058-2916,1538-943X
BEHAVIOURAL BRAIN RESEARCH,0166-4328,1872-7549
Egyptian Journal of Aquatic Research,1687-4285,2090-3278
EUROPEAN ADDICTION RESEARCH,1022-6877,1421-9891
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,0179-1958,1432-1262
International Journal of Computer Assisted Radiology and Surgery,1861-6410,1861-6429
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,1548-5609
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,0027-9684,1943-4693
SICOT-J,2426-8887,2426-8887
Journal of Health Economics and Outcomes Research,2327-2236,2327-2236
JOURNAL OF TRAUMATIC STRESS,0894-9867,1573-6598
Saudi Dental Journal,1013-9052,1658-3558
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,1499-4046,1878-2620
Quantitative Imaging in Medicine and Surgery,2223-4292,2223-4306
Chronic Respiratory Disease,1479-9723,1479-9731
Endoscopy International Open,2364-3722,2196-9736
Journal of Hospital Medicine,1553-5592,1553-5606
Journal of Oral Biosciences,1349-0079,1880-3865
World Journal of Orthopedics,2218-5836,2218-5836
Sports Medicine and Health Science,2666-3376,2666-3376
JOURNAL OF PLANT RESEARCH,0918-9440,1618-0860
EPILEPSY & BEHAVIOR,1525-5050,1525-5069
International Journal of Workplace Health Management,1753-8351,1753-836X
TROPICAL MEDICINE & INTERNATIONAL HEALTH,1360-2276,1365-3156
MEDITERRANEAN MARINE SCIENCE,1108-393X,
Physiology International,2498-602X,2498-602X
Therapeutic Advances in Ophthalmology,2515-8414,2515-8414
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,0046-9580,1945-7243
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,1078-1439,1873-2496
BMJ Open,2044-6055,2044-6055
OECOLOGIA,0029-8549,1432-1939
Orthopedic Research and Reviews,,1179-1462
Health Policy OPEN,,2590-2296
Seminars in Ophthalmology,0882-0538,1744-5205
Alpine Botany,1664-2201,1664-221X
Health Informatics Journal,1460-4582,1741-2811
JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,1432-1416
PEDIATRIC BLOOD & CANCER,1545-5009,1545-5017
Aquatic Invasions,1798-6540,1818-5487
Blood Transfusion,1723-2007,1723-2007
GENES BRAIN AND BEHAVIOR,1601-1848,1601-183X
PATHOLOGY & ONCOLOGY RESEARCH,1219-4956,1532-2807
Plant Direct,,2475-4455
Cancer Epidemiology,1877-7821,1877-783X
Dermatology Practical & Conceptual,2160-9381,2160-9381
Estuaries and Coasts,1559-2723,1559-2731
JOURNAL OF NEUROIMAGING,1051-2284,1552-6569
Ecology and Evolution,2045-7758,2045-7758
Advances in Urology,1687-6369,1687-6377
INTERNATIONAL REVIEW OF HYDROBIOLOGY,1434-2944,1522-2632
Annals of Thoracic Medicine,1817-1737,1998-3557
BMC Cardiovascular Disorders,1471-2261,1471-2261
CLINICAL CARDIOLOGY,0160-9289,1932-8737
Evidence-Based Dentistry,1462-0049,1476-5446
Frontiers in Computational Neuroscience,,1662-5188
Journal of Cardiovascular Development and Disease,,2308-3425
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101
JOURNAL OF MEDICAL SCREENING,0969-1413,1475-5793
Bio-Algorithms and Med-Systems,1895-9091,1896-530X
Current Sexual Health Reports,1548-3584,1548-3592
Developmental Neurobiology,1932-8451,1932-846X
Frontiers in Radiology,,2673-8740
Thoracic Cancer,1759-7706,1759-7714
ARTIFICIAL ORGANS,0160-564X,1525-1594
EUROPEAN JOURNAL OF HAEMATOLOGY,0902-4441,1600-0609
Health and Human Rights,,2150-4113
Physiologia,,2673-9488
Grassland Research,2097-051X,2770-1743
VISUAL NEUROSCIENCE,0952-5238,1469-8714
Journal of Gay & Lesbian Mental Health,1935-9705,1935-9713
JOURNAL OF VASCULAR RESEARCH,1018-1172,1423-0135
Clinical Respiratory Journal,1752-6981,1752-699X
Revista da Sociedade Brasileira de Medicina Tropical,0037-8682,
Advances in Respiratory Medicine,2451-4934,2543-6031
RADIATION AND ENVIRONMENTAL BIOPHYSICS,0301-634X,1432-2099
BLOOD PRESSURE,0803-7051,1651-1999
HEALTH,1363-4593,1461-7196
CROATIAN MEDICAL JOURNAL,0353-9504,1332-8166
Medical Ultrasonography,1844-4172,2066-8643
International Journal of Laboratory Hematology,1751-5521,1751-553X
Cardiology in Review,1061-5377,1538-4683
Journal of General and Family Medicine,2189-7948,2189-7948
Frontiers in Systems Biology,,2674-0702
Heart International,2036-2579,2036-2579
JOURNAL OF COMMUNITY HEALTH,0094-5145,1573-3610
AMERICAN JOURNAL OF EMERGENCY MEDICINE,0735-6757,1532-8171
APPLIED NURSING RESEARCH,0897-1897,1532-8201
Israel Journal of Health Policy Research,2045-4015,2045-4015
BDJ Open,,2056-807X
NURSING RESEARCH,0029-6562,1538-9847
FOOT & ANKLE INTERNATIONAL,1071-1007,1944-7876
Orthopaedics & Traumatology-Surgery & Research,1877-0568,1877-0568
CLINICS IN DERMATOLOGY,0738-081X,1879-1131
Updates in Surgery,2038-131X,2038-3312
ADVANCES IN NURSING SCIENCE,0161-9268,1550-5014
European Journal of Trauma and Emergency Surgery,1863-9933,1863-9941
FAMILY PRACTICE,0263-2136,1460-2229
Journal of Pregnancy,2090-2727,2090-2735
Journal of Foot and Ankle Research,,1757-1146
Research Ethics,1747-0161,2047-6094
JDR Clinical & Translational Research,2380-0844,2380-0852
ARCHIVES OF PSYCHIATRIC NURSING,0883-9417,1532-8228
OPERATIVE DENTISTRY,0361-7734,1559-2863
Clinical Ophthalmology,1177-5483,1177-5483
AMERICAN JOURNAL OF CRITICAL CARE,1062-3264,1937-710X
MCN-The American Journal of Maternal-Child Nursing,0361-929X,1539-0683
Stigma and Health,2376-6972,2376-6964
International Journal of Dentistry,1687-8728,1687-8736
International Journal of Telemedicine and Applications,1687-6415,1687-6423
JOURNAL OF CLINICAL MONITORING AND COMPUTING,1387-1307,1573-2614
PEDIATRIC INFECTIOUS DISEASE JOURNAL,0891-3668,1532-0987
JOURNAL OF AGING AND HEALTH,0898-2643,1552-6887
Taiwanese Journal of Obstetrics & Gynecology,1028-4559,
AGEING & SOCIETY,0144-686X,1469-1779
Clinical and Experimental Dental Research,2057-4347,2057-4347
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,0196-206X,1536-7312
Urolithiasis,2194-7228,2194-7236
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1205-7533
F&S Reports,,2666-3341
BMJ Open Ophthalmology,2397-3269,2397-3269
CANADIAN JOURNAL OF SURGERY,0008-428X,1488-2310
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,0009-398X,1573-3327
Clinical Cosmetic and Investigational Dermatology,1178-7015,1178-7015
Journal of Clinical Pediatric Dentistry,1053-4628,1557-5268
INTERNATIONAL JOURNAL OF UROLOGY,0919-8172,1442-2042
Systems Biology in Reproductive Medicine,1939-6368,1939-6376
Current Opinion in Systems Biology,2452-3100,2452-3100
International Journal of Fertility & Sterility,2008-076X,2008-0778
Dementia-International Journal of Social Research and Practice,1471-3012,1741-2684
DERMATOLOGIC SURGERY,1076-0512,1524-4725
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293
Journal of Attention Disorders,1087-0547,1557-1246
Journal of Studies on Alcohol and Drugs,1937-1888,1938-4114
Wellbeing Space and Society,2666-5581,2666-5581
BEHAVIOR GENETICS,0001-8244,1573-3297
Epidemiologia,,2673-3986
JOURNAL OF GAMBLING STUDIES,1050-5350,1573-3602
MEDICAL CARE RESEARCH AND REVIEW,1077-5587,1552-6801
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,0905-4383,1600-0781
Injury Epidemiology,,2197-1714
DEVELOPMENTAL PSYCHOBIOLOGY,0012-1630,1098-2302
Epidemiology & Infection,0950-2688,1469-4409
Epidemiology and Health,2092-7193,2092-7193
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,0959-9673,1365-2613
Journal of Innovative Optical Health Sciences,1793-5458,1793-7205
SKELETAL RADIOLOGY,0364-2348,1432-2161
Trauma Surgery & Acute Care Open,,2397-5776
INTERNATIONAL JOURNAL OF SPORTS MEDICINE,0172-4622,1439-3964
Journal of Health Organization and Management,1477-7266,1758-7247
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,1353-4505,1464-3677
MEDICAL PRINCIPLES AND PRACTICE,1011-7571,1423-0151
Tomography,2379-1381,2379-139X
Abdominal Radiology,2366-004X,2366-0058
JOURNAL OF PSYCHOACTIVE DRUGS,0279-1072,2159-9777
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664
ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,2080-3397
International Health,1876-3413,1876-3405
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,0005-7916,1873-7943
Journal of Obstetrics and Gynaecology Canada,1701-2163,1701-2163
Translational Journal of the American College of Sports Medicine,,2379-2868
Tropical Diseases Travel Medicine and Vaccines,2055-0936,2055-0936
ClinicoEconomics and Outcomes Research,1178-6981,1178-6981
Explore-The Journal of Science and Healing,1550-8307,1878-7541
International Journal for Parasitology-Parasites and Wildlife,2213-2244,2213-2244
Journal of Biological Dynamics,1751-3758,1751-3766
Open Access Journal of Contraception,,1179-1527
Palliative Care & Social Practice,2632-3524,2632-3524
BEHAVIORAL MEDICINE,0896-4289,1940-4026
Journal of Psychedelic Studies,,2559-9283
BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,1522-9602
Fungal Ecology,1754-5048,1878-0083
Journal of Applied Clinical Medical Physics,1526-9914,1526-9914
Therapeutics and Clinical Risk Management,,1178-203X
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,0160-2446,1533-4023
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,1557-8992
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,1052-7613,1099-0755
Clinics and Practice,2039-7275,2039-7283
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1095-8339
Dermatologica Sinica,1027-8117,2223-330X
Science of Diabetes Self-Management and Care,2635-0106,2635-0114
ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1442-8903
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,1573-742X
Journal of Transplantation,2090-0007,2090-0015
Heart Lung and Circulation,1443-9506,1444-2892
Tobacco Use Insights,1179-173X,1179-173X
Global Health-Science and Practice,2169-575X,2169-575X
PEDOBIOLOGIA,0031-4056,1873-1511
mHealth,,2306-9740
Sexual Health,1448-5028,1449-8987
Archives of Cardiovascular Diseases,1875-2136,1875-2128
Journal of Plant Diseases and Protection,1861-3829,1861-3837
Therapeutic Advances in Cardiovascular Disease,1753-9447,1753-9455
INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE,0952-6862,1758-6542
Radiology and Oncology,1318-2099,1581-3207
CURRENT MEDICAL RESEARCH AND OPINION,0300-7995,1473-4877
Human Factors in Healthcare,,2772-5014
JMIR Cardio,,2561-1011
REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,1020-4989,1680-5348
CURRENT CARDIOLOGY REVIEWS,1573-403X,1875-6557
CURRENT OPINION IN UROLOGY,0963-0643,1473-6586
BREEDING SCIENCE,1344-7610,1347-3735
Medicinal Plant Biology,,2835-6969
Journal of Traditional Chinese Medicine,0255-2922,1577-7014
Journal of Molecular and Cellular Cardiology Plus,,2772-9761
Kidney and Dialysis,,2673-8236
JOURNAL OF CARBOHYDRATE CHEMISTRY,0732-8303,1532-2327
Acta Otorhinolaryngologica Italica,0392-100X,1827-675X
European Journal of Dentistry,1305-7456,1305-7464
Journal of Surgical Education,1931-7204,1878-7452
Global Qualitative Nursing Research,2333-3936,2333-3936
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,0275-004X,1539-2864
ARCHIVES OF ORAL BIOLOGY,0003-9969,1879-1506
International Journal of Telerehabilitation,1945-2020,1945-2020
CLINICAL BIOCHEMISTRY,0009-9120,1873-2933
International Journal of Medical Robotics and Computer Assisted Surgery,1478-5951,1478-596X
Patient Safety in Surgery,1754-9493,1754-9493
Workplace Health & Safety,2165-0799,2165-0969
CORNEA,0277-3740,1536-4798
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1010-5182,1878-4119
ACTA PAEDIATRICA,0803-5253,1651-2227
Children-Basel,,2227-9067
Pediatrics and Neonatology,1875-9572,2212-1692
Pain Management Nursing,1524-9042,1532-8635
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,0936-8051,1434-3916
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,0363-5023,1531-6564
Journal of Lower Genital Tract Disease,1089-2591,1526-0976
Journal of Neurosurgery-Pediatrics,1933-0707,1933-0715
PEDIATRIC NEUROLOGY,0887-8994,1873-5150
JOURNAL OF BIOLOGICAL RHYTHMS,0748-7304,1552-4531
Perioperative Medicine,,2047-0525
Hospital Pediatrics,2154-1663,2154-1671
Annals of Coloproctology,2287-9714,2287-9722
Orthopaedic Surgery,1757-7853,1757-7861
Arthroplasty Today,2352-3441,2352-3441
Biological Research for Nursing,1099-8004,1552-4175
Foot & Ankle Specialist,1938-6400,1938-7636
Current Tropical Medicine Reports,,2196-3045
MARINE BIOLOGY,0025-3162,1432-1793
Eye & Contact Lens-Science and Clinical Practice,1542-2321,1542-233X
BIOETHICS,0269-9702,1467-8519
Journal of Aging & Social Policy,0895-9420,1545-0821
Medicina Oral Patologia Oral y Cirugia Bucal,1698-6946,1698-6946
CRYOBIOLOGY,0011-2240,1090-2392
HEALTH EDUCATION & BEHAVIOR,1090-1981,1552-6127
International Neurourology Journal,2093-4777,2093-6931
Investigative and Clinical Urology,2466-0493,2466-054X
ANALES DE PEDIATRIA,1695-4033,1695-9531
Contemporary Nurse,1037-6178,1839-3535
DOMESTIC ANIMAL ENDOCRINOLOGY,0739-7240,1879-0054
HISTOCHEMISTRY AND CELL BIOLOGY,0948-6143,1432-119X
CONNECTIVE TISSUE RESEARCH,0300-8207,1607-8438
Imaging Science in Dentistry,2233-7822,2233-7830
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,1403-4948,1651-1905
World Neurosurgery,1878-8750,1878-8769
Evolution Medicine and Public Health,,2050-6201
MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599
KIDNEY & BLOOD PRESSURE RESEARCH,1420-4096,1423-0143
Australian Journal of Rural Health,1038-5282,1440-1584
Global Public Health,1744-1692,1744-1706
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,1080-7683,1557-7732
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,0272-9490,1943-7676
ANIMAL GENETICS,0268-9146,1365-2052
AMERICAN JOURNAL OF MANAGED CARE,1088-0224,
Current Opinion in Anesthesiology,0952-7907,1473-6500
International Journal of Orthopaedic and Trauma Nursing,1878-1241,1878-1292
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,1532-8422
Orthopedic Reviews,2035-8237,2035-8164
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,0301-5661,1600-0528
International Journal of Sports Physical Therapy,2159-2896,2159-2896
Journal of International Society of Preventive and Community Dentistry,2231-0762,2250-1002
Pharmacoeconomics-Open,2509-4262,2509-4254
Occupational Health Science,2367-0134,2367-0142
Scandinavian Journal of Urology,2168-1805,2168-1813
WIENER KLINISCHE WOCHENSCHRIFT,0043-5325,1613-7671
Health Science Reports,,2398-8835
Diversity-Basel,,1424-2818
Journal of Preventive Medicine & Public Health,1975-8375,2233-4521
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1356-1294,1365-2753
Journal of Spectroscopy,2314-4920,2314-4939
Theoretical and Experimental Plant Physiology,2197-0025,2197-0025
CANCER CAUSES & CONTROL,0957-5243,1573-7225
Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews,2474-7661,2474-7661
REVISTA DE SAUDE PUBLICA,0034-8910,1518-8787
Annals of Work Exposures and Health,2398-7308,2398-7316
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,1040-872X,1473-656X
SAGE Open Medicine,2050-3121,2050-3121
VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,1557-7759
Breast Care,1661-3791,1661-3805
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1084-9785,1557-8852
MEDICINA CLINICA,0025-7753,1578-8989
ORYX,0030-6053,1365-3008
Precision Radiation Oncology,2398-7324,2398-7324
Journal of Medical Ultrasonics,1346-4523,1613-2254
Interactive Cardiovascular and Thoracic Surgery,1569-9293,1569-9285
INTERVENTIONAL NEURORADIOLOGY,1591-0199,2385-2011
Turkish Journal of Pathology,1018-5615,1309-5730
AEROBIOLOGIA,0393-5965,1573-3025
Seminars in Pediatric Neurology,1071-9091,1558-0776
BJR Open,,2513-9878
HYPERTENSION IN PREGNANCY,1064-1955,1525-6065
International Journal of Health Sciences-IJHS,1658-3639,1658-7774
PARASITE IMMUNOLOGY,0141-9838,1365-3024
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,0398-7620,1773-0627
Seminars in Orthodontics,1073-8746,1558-4631
Nursing Reports,2039-439X,2039-4403
American Journal of Health Economics,2332-3493,2332-3507
NURSING FORUM,0029-6473,1744-6198
APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045
BMC Pediatrics,,1471-2431
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,0195-5616,1878-1306
Laparoscopic Endoscopic and Robotic Surgery,2542-3614,2468-9009
VETERINARY RESEARCH COMMUNICATIONS,0165-7380,1573-7446
Clinics in Orthopedic Surgery,2005-291X,2005-4408
Archives of Academic Emergency Medicine,,2645-4904
EARLY HUMAN DEVELOPMENT,0378-3782,1872-6232
Frontiers in Pediatrics,2296-2360,2296-2360
International Journal of Emergency Medicine,1865-1372,1865-1380
JOURNAL OF CLINICAL PATHOLOGY,0021-9746,1472-4146
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,0020-1383,1879-0267
Foot and Ankle Surgery,1268-7731,1460-9584
International Emergency Nursing,1755-599X,1878-013X
International Journal of Computerized Dentistry,1463-4201,1463-4201
OTOLOGY & NEUROTOLOGY,1531-7129,1537-4505
SCIENCE & JUSTICE,1355-0306,1876-4452
Sexual Medicine,,2050-1161
Western Journal of Emergency Medicine,1936-900X,1936-9018
Journal of PeriAnesthesia Nursing,1089-9472,1532-8473
Archives of Rehabilitation Research and Clinical Translation,2590-1095,2590-1095
DISABILITY AND REHABILITATION,0963-8288,1464-5165
European Archives of Paediatric Dentistry,1818-6300,1996-9805
HEALTH EDUCATION RESEARCH,0268-1153,1465-3648
CURRENT EYE RESEARCH,0271-3683,1460-2202
LARYNGOSCOPE,0023-852X,1531-4995
Prehospital Emergency Care,1090-3127,1545-0066
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576
Canadian Journal of Emergency Medicine,1481-8035,1481-8043
International Journal of Nursing Practice,1322-7114,1440-172X
Veterinary Medicine International,2090-8113,2042-0048
KNEE,0968-0160,1873-5800
Physical Medicine and Rehabilitation Clinics of North America,1047-9651,1558-1381
Journal of Stomatology Oral and Maxillofacial Surgery,2468-8509,2468-7855
PATHOBIOLOGY,1015-2008,1423-0291
Current Opinion in Otolaryngology & Head and Neck Surgery,1068-9508,1531-6998
UROLOGY,0090-4295,1527-9995
INDIAN JOURNAL OF PEDIATRICS,0019-5456,0973-7693
OCULAR IMMUNOLOGY AND INFLAMMATION,0927-3948,1744-5078
JOURNAL OF APPLIED GERONTOLOGY,0733-4648,1552-4523
Journal of Research in Nursing,1744-9871,1744-988X
MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES,1364-5706,1365-2931
Veterinary World,0972-8988,2231-0916
Animal Diseases,,2731-0442
Applied Physiology Nutrition and Metabolism,1715-5312,1715-5320
CHILD CARE HEALTH AND DEVELOPMENT,0305-1862,1365-2214
JOURNAL OF NEUROSCIENCE NURSING,0888-0395,1945-2810
Journal of Psychosomatic Obstetrics & Gynecology,0167-482X,1743-8942
Journal of the Economics of Ageing,2212-828X,2212-8298
Public Health Ethics,1754-9973,1754-9981
European Endodontic Journal,2548-0839,2548-0839
JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774
Revista Paulista de Pediatria,0103-0582,1984-0462
AMERICAN JOURNAL OF NURSING,0002-936X,1538-7488
Journal of Visceral Surgery,1878-7886,1878-7886
World Neurosurgery-X,,2590-1397
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,0884-2175,1552-6909
Neuropsychologia,0028-3932,1873-3514
BIOFOULING,0892-7014,1029-2454
STEM CELLS AND DEVELOPMENT,1547-3287,1557-8534
ARCHIVES OF SUICIDE RESEARCH,1381-1118,1543-6136
LIMNOLOGICA,0075-9511,1873-5851
CUAJ-Canadian Urological Association Journal,1911-6470,1920-1214
JOURNAL OF FISH BIOLOGY,,1095-8649
JOURNAL OF NEURO-OPHTHALMOLOGY,1070-8022,1536-5166
Journal of Magnetic Resonance Open,,2666-4410
